DOI,type_of_synthesis,precursor_1,precursor_2,precursor_3,reagent,precursor_1_g,precursor_2_g,precursor_3_g,reagent_mL,power_W,temperature_°C,time_h,Abs_red_max_nm,Exc_red_max_nm,FL_red_max_nm,QY_red_%,molar_concentration_precursor_1,molar_concentration_precursor_2,molar_concentration_precursor_3
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,1.2,1.89,,80.0,,180.0,4.0,564.0,561.0,627,53.1,0.078125,0.39375,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,1.6,1.89,,80.0,,180.0,4.0,564.0,561.0,624,51.6,0.104166667,0.39375,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,0.8,1.89,,80.0,,180.0,4.0,564.0,561.0,630,37.4,0.052083333,0.39375,
10.1007/s12274-019-2293-z,ST,L-cystine,o-phenylenediamine,,ethanol,0.125,0.5,,20.0,,220.0,12.0,571.0,540.0,648,35.7,0.051652893,0.231481481,
10.1002/adma.201702910,ST,1_3-Dihydroxynaphthalene,KIO4,,ethanol,0.01,0.04,,10.0,,180.0,1.0,530.0,540.0,628,53.0,0.00625,0.017391304,
10.1021/acsami.8b03529,HT,CA,5-amino-1_10- phenanthroline,,water,1.35,0.15,,15.0,,200.0,7.0,450.0,560.0,630,67.0,0.46875,0.051282051,
10.1126/sciadv.abb6772,ST,terephthalic acid,o-phenylenediamine,,ethanol,0.1,0.1,,10.0,,180.0,12.0,628.0,600.0,665,47.0,0.060240964,0.092592593,
10.1126/sciadv.abb6773,ST,terephthalic acid,o-phenylenediamine,,ethanol,0.2,0.1,,10.0,,180.0,12.0,650.0,640.0,700,52.0,0.120481928,0.092592593,
10.1016/j.jallcom.2017.01.124,ST,CA,urea,,DMF,1.0,2.0,,10.0,,200.0,6.0,600.0,550.0,650,39.0,0.520833333,3.333333333,
10.1088/1361-6528/aaa321,ST,CA,urea,,DMF,1.0,2.0,,10.0,,180.0,8.0,550.0,540.0,620,47.0,0.520833333,3.333333333,
10.1002/smll.202205890,ST,p-phenylenediamine,congo red,,water,0.01,0.005,,10.0,,200.0,8.0,490.0,480.0,630,39.9,0.009259259,0.00071736,
10.1039/D2TA09972A,ST,nitrated pyrenes,boric acid,,DMF,2.0,1.0,,50.0,,180.0,12.0,490.0,,595,65.0,0.198019802,0.322580645,
10.1088/1361-6528/ab71b6,MW,ammonium citrate tribasic,formamide,,glycerol,1.2,3.66,,25.0,700.0,,,555.0,540.0,622,37.4,0.197530864,3.253333333,
10.1002/bio.3966,ST,sodium citrate dihydrate,,,formamide,1.18,,,20.0,,180.0,16.0,550.0,550.0,600,35.3,0.200680272,,
10.1039/c9nr10029f,ST,3_4_9_10-Tetranitroperylene,,,NaOH/ethanol,0.025,,,15.0,,200.0,12.0,550.0,557.0,612,77.0,0.003858025,,
10.1039/C7RA07736J,ST,p-phenylenediamine,,,DMF,0.05,,,10.0,,200.0,4.0,520.0,,610,52.4,0.046296296,,
10.1016/j.cej.2021.131653,ST,o-phenylenediamine,,,H2SO4/water,2.162,,,20.0,,200.0,6.0,580.0,,600,78.3,1.000925926,,
